"","Code_postal","REGION","CP"
"792",38142,"Rhone_Alpes",38
"793",38630,"Rhone_Alpes",38
"794",38270,"Rhone_Alpes",38
"795",38440,"Rhone_Alpes",38
"796",38270,"Rhone_Alpes",38
"797",38730,"Rhone_Alpes",38
"798",38510,"Rhone_Alpes",38
"799",38300,"Rhone_Alpes",38
"800",38390,"Rhone_Alpes",38
"801",73390,"Rhone_Alpes",73
"802",73260,"Rhone_Alpes",73
"803",73220,"Rhone_Alpes",73
"804",73390,"Rhone_Alpes",73
"805",73730,"Rhone_Alpes",73
"806",73190,"Rhone_Alpes",73
"807",73660,"Rhone_Alpes",73
"808",73370,"Rhone_Alpes",73
"809",73170,"Rhone_Alpes",73
"810",73630,"Rhone_Alpes",73
"811",73800,"Rhone_Alpes",73
"812",73220,"Rhone_Alpes",73
"813",73300,"Rhone_Alpes",73
"814",73100,"Rhone_Alpes",73
"815",73800,"Rhone_Alpes",73
"816",73800,"Rhone_Alpes",73
"817",73200,"Rhone_Alpes",73
"818",73260,"Rhone_Alpes",73
"819",73260,"Rhone_Alpes",73
"820",73460,"Rhone_Alpes",73
"821",73110,"Rhone_Alpes",73
"822",73110,"Rhone_Alpes",73
"823",73800,"Rhone_Alpes",73
"824",73390,"Rhone_Alpes",73
"825",73640,"Rhone_Alpes",73
"826",74350,"Rhone_Alpes",74
"827",71490,"Bourgogne",71
"828",71110,"Bourgogne",71
"829",71580,"Bourgogne",71
"830",71190,"Bourgogne",71
"831",71320,"Bourgogne",71
"832",71570,"Bourgogne",71
"833",71800,"Bourgogne",71
"834",71570,"Bourgogne",71
"835",71110,"Bourgogne",71
"836",71460,"Bourgogne",71
"837",71960,"Bourgogne",71
"838",71740,"Bourgogne",71
"839",72110,"Pays_de_la_Loire",72
"840",72250,"Pays_de_la_Loire",72
"841",72300,"Pays_de_la_Loire",72
"842",72500,"Pays_de_la_Loire",72
"843",72120,"Pays_de_la_Loire",72
"844",72500,"Pays_de_la_Loire",72
"845",72220,"Pays_de_la_Loire",72
"846",72240,"Pays_de_la_Loire",72
"847",72320,"Pays_de_la_Loire",72
